ISIN Div Payout/ ISIN Growth	Net Asset Value
INF789F01YB6	16.6859
INF789FA1W02	10.6288
INF789FB1U02	9.9596
INF789F01YC4	11.7744
INF789FA1V60	9.975
INF789FA1V86	9.7042
INF789FA1V45	10.0281
INF789FB1T88	8.9769
INF789F01RA2	10.6183
	
	
	
	
	
INF579M01183	19.2935
INF579M01266	20.2639
INF579M01282	12.8351
INF579M01290	18.6998
INF579M01191	19.2934
INF579M01225	18.6181
INF579M01209	12.0273
INF579M01217	18.6181
	
	
	
INF209K01N82	42.4733
INF209K01793	40.0112
INF209KA1TX3	13.0338
INF209K01R62	10.7731
INF209K01R88	10.7345
INF209KA1TV7	12.1676
INF209K01801	10.4596
INF209K01819	10.6023
INF209K01JW2	27.6706
	
	
	
INF846K01DI3	28.0590
INF846K01DJ1	11.7417
INF846K01DL7	10.4005
INF846K01917	25.6819
INF846K01941	10.8590
INF846K01925	10.4966
	
	
	
INF194K01QI0	11.3326
INF194K01QL4	11.2266
INF194K01QG4	29.4907
INF194K018R9	10.7969
INF194K01QO8	11.2759
INF194KA1TM3	11.7186
INF194K01O13	11.7503
INF194K01N63	32.2757
INF194K011P8	11.0227
INF194K01O47	13.8570
INF194KA1TP6	11.3168
INF194K01N89	13.2586
	
	
	
-	10.1148
INF251K01GW0	43.7780
INF251K01HD8	10.0000
INF251K01GZ3	10.4840
INF251K01HB2	10.6039
-	10.1254
-	10.1148
INF251K01DW7	39.9918
INF251K01ED5	10.4245
INF251K01DZ0	10.2658
INF251K01EB9	10.3583
-	10.1219
INF251K01EF0	28.1628
	
	
	
INF760K01EC7	28.1436
INF760K01EA1	14.7956
INF760K01449	26.0170
INF760K01423	13.5168
	
	
	
INF740K01QG4	3078.2057
INF740K01QI0	2097.2596
-	1049.5175
INF740K01QH2	1072.4222
INF740KA1OY8	990.0000
INF740K01GK7	2922.8224
INF740K01GO9	1289.1031
-	1066.8638
INF740K01GM3	1063.2072
INF740K01GQ4	1053.5983
	
	
	
INF090I01HB8	84.0329
INF090I01GZ9	14.1635
INF090I01BN6	15.6675
INF090I01WD3	0.0000
INF090I01WB7	0.0000
INF090I01TS7	0.0000
INF090I01TT5	0.0000
INF090I01TQ1	0.0000
INF090I01TR9	0.0000
INF090I01TU3	0.0000
INF090I01TX7	0.0000
INF090I01TV1	0.0000
INF090I01WA9	0.0000
INF090I01BP1	94.7880
INF090I01TW9	0.0000
INF090I01WC5	0.0000
	
	
	
INF666M01EK5	1334.6641
INF666M01ES8	1301.0915
-	1007.3572
INF666M01EO7	1011.9339
INF666M01EQ2	1009.7725
INF666M01EM1	1007.4774
-	1007.7093
INF666M01EW0	1011.4834
INF666M01EY6	1009.2325
INF666M01EU4	1007.4625
	
	
	
INF179K01848	78.1943
INF179K01WB4	85.2399
INF179K01WC2	13.613
INF179K01855	11.6565
INF179KA1Q95	17.9478
INF179KA1R11	16.752
INF179K01WE8	13.4717
INF179K01871	12.1187
INF179K01WG3	14.8331
INF179K01921	13.3451
	
	
	
INF917K01VN4	11.2133
INF917K01HA0	27.5147
INF917K01GZ9	12.7702
INF917K01VP9	10.6786
INF677K01916	25.6548
INF677K01924	10.7198
	
	
	
INF109K01GO7	10.9021
INF109KA1H36	17.0248
INF109K012E4	10.8699
INF109K016E5	34.1329
INF109K014E0	22.1499
INF109K017E3	11.8725
INF109K019E9	10.5932
INF109KA1H28	17.8505
INF109K01GN9	32.0068
INF109K01GK5	19.9036
INF109K01GM1	25.7538
INF109K01GE8	11.5911
INF109K01FD2	10.9012
INF109K01GI9	10.8538
INF109K01712	49.3216
INF109K01GG3	11.6831
	
	
	
INF00XX01BK7	11.2483
INF00XX01BC4	11.2484
INF00XX01BJ9	11.2566
INF00XX01BH3	10.0457
INF00XX01BI1	11.2566
INF00XX01BB6	10.9886
INF00XX01AT0	10.9886
INF00XX01BA8	10.9894
INF00XX01AY0	10.0395
INF00XX01AZ7	10.9887
	
	
	
-	10.1050
INF192K01DB7	38.3896
INF192K01IL5	38.6850
-	10.5763
INF192K01EX9	36.0765
-	10.0501
INF192K01700	36.0625
INF192K01IN1	36.3743
INF192K01684	36.1756
INF192K01IJ9	36.3473
-	10.5671
INF192K01734	10.2458
INF192K01EZ4	38.0447
INF192K01DD3	38.1845
INF192K01IP6	38.4270
-	10.0470
INF192K01759	29.1520
	
	
	
INF174K01JX6	12.216
INF174K01JU2	34.8066
INF174K01IY6	12.1923
INF174K01FA2	32.3621
	
	
	
INF174V01580	13.1941
INF174V01606	12.4879
INF174V01622	10.9208
INF174V01531	12.4769
INF174V01556	11.7952
INF174V01572	10.2646
	
	
	
INF769K01DR8	15.3531
INF769K01DS6	15.3502
INF769K01DP2	14.2681
INF769K01DO5	14.2682
	
	
	
INF204K01A33	24.8253
INF204K01A58	10.3595
INF204K01A25	34.3613
INF204K01FJ8	21.6939
